,reviews,size,quality,battery,design,beam,price
23,Wife loves it she is a delivery driver and works after dark sometimes... The nice thing about this particular light is how the light cone is designed she can illuminate an address on a house and not worry about light shining through people's windows she currently uses older generation stinger this one is craaaazy bright!!!!,,,,,The nice thing about this particular light is how the light cone is designed she can illuminate an address on a house and not worry about light shining through people's windows she currently uses older generation stinger this one is craaaazy bright!!!,
24,Good product,,,,,,
25,Works amazing love streamlight,,,,,,
26,Ive had this flashlight now 4 months and its starting to loose connection. I will clean yhe connectors and finish 🏁 the review,,,,,,
27,WOW! What a bright light. Listing says 340 lumens.. box says 700+. Definitely 700+. Very good build quality. Light's up entire backyard at night.,,Very good build quality.,,,What a bright light.,
28,My husband says this was the best present ever! We can clearly see several hundred feet. It is the best flashlight we have ever had. The light is absolutely amazing.,,,,,We can clearly see several hundred feet.,
29,Great great great illumination for my husbands mold business BUT price is way too high. My son bought same one on Internet for $99.,,,,,,Great great great illumination for my husbands mold business BUT price is way too high.My son bought same one on Internet for $99.
30,"This is awesome. It has better range than my father in law's pistol grip style spotlight. Everyone is jealous. Super bright, huge range, perfect for checking cows, spotlighting coyotes, etc. Tough as hell and perfect function.","Super bright, huge range, perfect for checking cows, spotlighting coyotes, etc.",Tough as hell and perfect function.,,It has better range than my father in law's pistol grip style spotlight.,"It has better range than my father in law's pistol grip style spotlight.Super bright, huge range, perfect for checking cows, spotlighting coyotes, etc.",
31,"I use this light for 4 years on patrol as a police officer. It has been thrown, dropped, and abused. It is still working great! The hp puts outs a nice flood and a nice spot beam for distance at the same time. I used this on my 12 hour patrol and never had it die in me. It having the dual switches makes it more versatile on the ways you can hold and use it. I used it and every officer in my department uses a stinger. The only complaint is the rear switch is terrible. I've gone through 5 switches. This is the same problem I've had with other streamlight flashlights. If you are looking for a light you can always depend on, you have found it!",,,,It having the dual switches makes it more versatile on the ways you can hold and use it.The only complaint is the rear switch is terrible.,The hp puts outs a nice flood and a nice spot beam for distance at the same time.,
32,"Awesome flashlight!!! I've had it for a few years and it has really taken a beating. It works great.
Very bright. Still have the original batteries.",,,Still have the original batteries.,,Very bright.,
33,Very nice high quality light. Very happy with it. It is a bit large. It does not fit neatly in your pocket.,It is a bit large.,Very nice high quality light.,,,,
34,This is a very bright and lightweight piece of equipment. Great light for the patrol car. Thinking of getting another for the house.,This is a very bright and lightweight piece of equipment.,,,,This is a very bright and lightweight piece of equipment.,
35,"I had an old style Stinger HP with the standard bulb. This light is brighter and has a noticeable white shine. The LED is durable (dropped a few times) and the light still shines bright. The main reason for this purchase was the extended battery use. I use the Streamlight at work and have yet to loose the charge. I got the piggyback quick charge just in case. ""I love it"" and recommend it!",,The LED is durable (dropped a few times) and the light still shines bright.,The main reason for this purchase was the extended battery use.I use the Streamlight at work and have yet to loose the charge.I got the piggyback quick charge just in case.,,This light is brighter and has a noticeable white shine.The LED is durable (dropped a few times) and the light still shines bright.,
36,Great lights,,,,,Great lights,
37,It is a great light I use it for work and it as usual lives up to the stream light name.,,,,,,
38,"I bought this light to use on my night watch. It is great it's bright, sturdy, reliable. Love it great value.",,"It is great it's bright, sturdy, reliable.",,,"It is great it's bright, sturdy, reliable.",Love it great value.
39,I bought this for my brother to use at work. I have used mine for 2 years and other than scratches it still works and charges fine. It is nice and bright,,,,,It is nice and bright,
40,"This is an awesome light!! Very bright and focused beam. Long lasting battery life and performance! I recommend this light if you need a really bright dependable light. The only downside is that if you plan to use it for several hours at a time have a spare battery just in case. There is no warning it just goes dead. With a full charge on a battery, this should take 5 or 6 hours.",,,"Long lasting battery life and performance!The only downside is that if you plan to use it for several hours at a time have a spare battery just in case.There is no warning it just goes dead.With a full charge on a battery, this should take 5 or 6 hours.",,Very bright and focused beam.I recommend this light if you need a really bright dependable light.,
41,Best light on the market,,,,,,
42,Carry this flashlight daily on duty. Holds a charge well and awesome brightness. Have had no issues with any Streamlight product.,,Holds a charge well and awesome brightness.,Holds a charge well and awesome brightness.,,Holds a charge well and awesome brightness.,
43,It nice and powerful. I am a correction officer have used it building and outside. It easy light up the end of the runs.,,,,,,
44,"I bought this streamlight stinger ds led flashlight to replace my first stinger flashlight(used it for 14 years, not working, lost it and later on I found it). Eventhough my old one is working again by replacing the battery & bulb with led I am keeping the new one.",,,Eventhough my old one is working again by replacing the battery & bulb with led I am keeping the new one.,,"I bought this streamlight stinger ds led flashlight to replace my first stinger flashlight(used it for 14 years, not working, lost it and later on I found it).Eventhough my old one is working again by replacing the battery & bulb with led I am keeping the new one.",
45,"this is a must have flashlite, so bright that you can see for hundreds of feet and very easy to recharge.",,,"this is a must have flashlite, so bright that you can see for hundreds of feet and very easy to recharge.",,"this is a must have flashlite, so bright that you can see for hundreds of feet and very easy to recharge.",
46,Expensive but you get what you pay for. I'll never need to buy another.,,,,,,Expensive but you get what you pay for.
47,"Pros:
1, The light is extremely bright & far!

Cons:
1, It will be automatically shut down...don't know the reason why ?? ...though it could work again about 15 min later.
2, The battery does not last as long as its spec. (about 1/2 of the spec.)",,,"2, The battery does not last as long as its spec.",,"Pros:
1, The light is extremely bright & far!",
48,"The website rates this light at 350 lumens and 56,000 cd. The Streamlight website ([...]) also has the same information. However, the light I received says it is rated at only 200 lumens and 48,000 cd. This is not what I paid so much money for.",,,,,"The website rates this light at 350 lumens and 56,000 cd.However, the light I received says it is rated at only 200 lumens and 48,000 cd.",This is not what I paid so much money for.
49,Love this light. It will light up the woods.,,,,,,
50,"Bought this after seeing a friends' Stinger and was amazed how much brighter it was than the Mag Lite LED light. The three intensity levels and strobe prove it to be more functional than a typical Mag Lite. You get what you pay for, that's how I see it.",,,,The three intensity levels and strobe prove it to be more functional than a typical Mag Lite.,Bought this after seeing a friends' Stinger and was amazed how much brighter it was than the Mag Lite LED light.The three intensity levels and strobe prove it to be more functional than a typical Mag Lite.,
51,Awesome light.,,,,,,
52,"The best flashlight I've EVER used. I use this flashlight daily, every hour for my security job during the night. The strobe effect is also a great thing to have if a person is walking toward you just hit them in the eyes with it.",,,,The strobe effect is also a great thing to have if a person is walking toward you just hit them in the eyes with it.,,
53,"This is an incredibly powerful light that'll cut right through dark window tint. Unfortunately, the powerful light is created through an awkwardly large lighthead and that makes this a very challenging light to carry on a duty belt. I've relegated this light to stay in my cruiser's door pocket. A great thing about this light is that it will fit in and utilize all of the chargers for the regular Stinger lights.","Unfortunately, the powerful light is created through an awkwardly large lighthead and that makes this a very challenging light to carry on a duty belt.",,,,This is an incredibly powerful light that'll cut right through dark window tint.A great thing about this light is that it will fit in and utilize all of the chargers for the regular Stinger lights.,
54,This light blows the mag light away. Almost as bright as my Q-beam. A very high quality light. Buy it.,,A very high quality light.,,,Almost as bright as my Q-beam.,
55,as advertized,,,,,,
56,Awesome flashlight!,,,,,,
57,Nice bright light,,,,,Nice bright light,
58,Fantastic throw for a handheld. Solid unit.,,Solid unit.,,,Fantastic throw for a handheld.,
59,"Excellent light! lights up the whole room! very bright, awesome. Worth the money definitely. and has strobe & side & tail cap switch... charger comes with it too. Def a good item & good seller",,,,and has strobe & side & tail cap switch... charger comes with it too.,"lights up the whole room!very bright, awesome.",Worth the money definitely.
60,More powerful than any flashlight I've seen. Holds a charge for a long time and convenient to charge. No complaints.,,,Holds a charge for a long time and convenient to charge.,,,
61,"I bought this light for my fiance for Christmas! Although after I purchased it, I found it cheaper locally in a store, my fiance absolutely loves it. It is bright and awesome!",,,,,It is bright and awesome!,
62,"Great flashlight, I tried other brands and they just didn't cut it. The streamlight is the best flashlight on the market today in my opinion.",,,,,,
63,i love it i have had 4 different flash lights and this one is best by far. if you have a shop get it,,,,,i love it i have had 4 different flash lights and this one is best by far.,
64,"First off, Optics Planet is a phenomenal company to conduct business with. The item I actually ordered was out of stock and they gave me the option to upgrade, at no extra cost, to an item that was in stock or the choice to wait for the out of stock item. My husband is extremely happy with this Stinger light which I bought to replace a Stinger light that he'd had stolen. For those who aren't familiar with Stinger lights, they are exceptionally bright and durable. My husband, an aviation mechanic, prefers this light hands-down to competitors.",,"For those who aren't familiar with Stinger lights, they are exceptionally bright and durable.",,,"First off, Optics Planet is a phenomenal company to conduct business with.For those who aren't familiar with Stinger lights, they are exceptionally bright and durable.","The item I actually ordered was out of stock and they gave me the option to upgrade, at no extra cost, to an item that was in stock or the choice to wait for the out of stock item."
65,"ligglht is very good quality, as expected from stream light. Very bright and charge lasts a long time. I got it with the 4hour fast charger. shipping was fast.",,"ligglht is very good quality, as expected from stream light.",Very bright and charge lasts a long time.,,Very bright and charge lasts a long time.,
66,"I have been using this light for years (I own 4) bright, durable and long battery life.",,"I have been using this light for years (I own 4) bright, durable and long battery life.","I have been using this light for years (I own 4) bright, durable and long battery life.",,"I have been using this light for years (I own 4) bright, durable and long battery life.",
67,Awesome,,,,,,
68,My husband and his hunting buddies all loved it! It's a little expensive but is a great product and will be used for many projects.,,,,,It's a little expensive but is a great product and will be used for many projects.,It's a little expensive but is a great product and will be used for many projects.
69,Very bright! Awesome light!,,,,,Very bright!,
70,"best light in the shop,
the only thing i don't like is the battery- wish it could last longer, or be easily replaceable which a spare is charged.
best light though",,,,,,
71,"Its nice and heavy, you can easily bop someone on the head with it and knock them out!","Its nice and heavy, you can easily bop someone on the head with it and knock them out!",,,"Its nice and heavy, you can easily bop someone on the head with it and knock them out!",,
72,One bada$$ light. You won't be sorry.,,,,,,One bada$$ light.
73,"Great product, probably will buy another so I can have one in the truck and other in my house. Used it for a long time last night at deer camp and was ridiculously bright for a flashlight",,,,,Used it for a long time last night at deer camp and was ridiculously bright for a flashlight,
74,Superb!,,,,,,
75,Love it,,,,,,
76,Best flashlight I have ever had. Although pricey it easily lights up small game for a late night hunt. Definitely worth it.,Although pricey it easily lights up small game for a late night hunt.,,,,Although pricey it easily lights up small game for a late night hunt.,Although pricey it easily lights up small game for a late night hunt.
77,"Love, love, love it!!!!!",,,,,,
78,Good light but it did not come with the charger. If it did I would give it 5 stars,,,,,,
79,I am in law enforecement and this light will fully light up people/object at 50 yards away. The battery will last about 2.5 hours on full power but if you do not need full power it will give you a good 8 hours on low setting.,,,The battery will last about 2.5 hours on full power but if you do not need full power it will give you a good 8 hours on low setting.,The battery will last about 2.5 hours on full power but if you do not need full power it will give you a good 8 hours on low setting.,The battery will last about 2.5 hours on full power but if you do not need full power it will give you a good 8 hours on low setting.,
